,setting,clusterCoef,lambda,mu,sigma,a,b,c
251,30000_7_0.8,0.21618140866589097,0.15,2.46,1.58,0.5748637416156542,0.7098575733460314,0.3924184357586199
252,30000_8_0.0,0.003938250763428446,0.1,-0.01,0.0,0.12801738672792018,0.08794290144139805,0.7608016893715194
253,30000_8_0.1,0.025029597883357717,0.17,-0.01,0.0,0.9247286658078854,0.16758358186539007,0.7883945113486654
254,30000_8_0.2,0.04766838448045203,0.17,-0.01,0.0,1.0533063664202005,0.30302236155178053,0.7192940240804742
255,30000_8_0.30000000000000004,0.07029130192866306,0.15,-0.01,0.0,1.0091157019209995,0.41994986982715105,0.6518943598190808
256,30000_8_0.4,0.09155024527273846,0.15,-0.01,0.0,0.8955039405815577,0.49323098368639995,0.5930113642312632
257,30000_8_0.5,0.11364540889679295,0.17,0.71,0.71,0.8192191009877284,0.5647783408328941,0.5404384005531067
258,30000_8_0.6000000000000001,0.13575348091025605,0.17,1.3,0.97,0.6970996939193101,0.5832036556043513,0.4939358539498528
259,30000_8_0.7000000000000001,0.15995095751309704,0.14,1.76,1.21,0.6273360186489504,0.635347756629265,0.4440956705075937
260,30000_8_0.8,0.18856028804383698,0.14,2.7,1.73,0.5459840662461539,0.6665559756766084,0.3963641813368522
261,30000_9_0.0,0.004316401832847733,0.09,-0.01,0.0,0.1061693289307119,0.09618036339050441,0.7411136434769927
262,30000_9_0.1,0.02359388634628231,0.13,-0.01,0.0,0.7504923284231853,0.16279261834022501,0.7681566812445434
263,30000_9_0.2,0.043595853296215126,0.15,-0.01,0.0,1.0264554313811112,0.3200742363676439,0.7040214163318329
264,30000_9_0.30000000000000004,0.063876674164711,0.13,-0.01,0.0,0.9812873960748836,0.43578629214812614,0.637468017836117
265,30000_9_0.4,0.08382789982510516,0.13,-0.0,0.27,0.882727225124835,0.5172294760431954,0.5779740355050355
266,30000_9_0.5,0.10292626170673459,0.13,0.63,0.65,0.7809826759038503,0.5626538859489902,0.5294748598587291
267,30000_9_0.6000000000000001,0.12116252842372804,0.15,1.25,0.95,0.6842151767262884,0.5844457019672697,0.4885187583713983
268,30000_9_0.7000000000000001,0.14206896947026446,0.14,1.94,1.3,0.5966217965928856,0.6066476720639116,0.4451946960437288
269,30000_9_0.8,0.169412182875067,0.13,2.98,1.91,0.5412512132390201,0.6666694159868043,0.39263049755847507
270,30000_10_0.0,0.004587353369344542,0.08,-0.01,0.0,0.13256871021940522,0.10435342531425874,0.7296342602678055
271,30000_10_0.1,0.022081867305651356,0.12,-0.02,0.01,0.7246141097023443,0.17311819660630037,0.7544875072072759
272,30000_10_0.2,0.04073060715254379,0.12,-0.02,0.01,1.0017693182863676,0.34363141918912177,0.6855711797430635
273,30000_10_0.30000000000000004,0.059285418729481267,0.12,-0.01,0.0,0.9672001295567162,0.45604457264588794,0.6237426032239877
274,30000_10_0.4,0.07705630515804475,0.12,0.22,0.47,0.8733708721110216,0.5300773106373575,0.5686012501629152
275,30000_10_0.5,0.09410606239685657,0.13,0.7,0.69,0.7489901053678149,0.5574516602370134,0.5215760925656601
